vente_id,date_vente,client_id,produit_id,canal_id,quantite,montant
58,2025-08-13,460,175,3,6,159.45
59,2025-04-23,70,121,4,5,798.37
60,2024-06-19,606,15,3,9,83.45
61,2025-01-10,473,116,1,1,375.05
62,2024-08-12,294,20,1,10,598.14
63,2025-03-03,394,119,1,8,909.96
64,2025-09-07,586,167,2,6,608.96
65,2024-09-10,514,39,1,8,112.47
66,2024-11-20,921,88,1,9,649.67
67,2026-04-22,41,64,4,8,528.83
68,2024-10-28,625,41,3,6,918.76
69,2025-04-19,397,105,3,10,61.84
70,2026-02-25,647,166,3,2,336.39
71,2025-01-30,572,174,4,5,259.48
72,2024-05-08,873,169,2,6,90.69
73,2024-10-03,680,37,3,5,968.02
74,2025-08-19,716,170,4,3,599.09
75,2025-07-13,961,22,3,9,382.91
76,2025-08-10,811,85,2,9,102.52
77,2025-09-11,687,109,3,1,368.97
78,2025-09-21,185,55,3,8,200.09
79,2024-09-28,141,40,1,5,845.98
80,2024-10-07,104,130,1,6,877.63
81,2024-08-29,633,34,4,3,170.62
82,2025-03-27,852,178,2,8,53.26
83,2025-07-12,374,174,2,8,614.49
84,2024-07-02,771,192,4,4,538.67
85,2024-05-10,317,121,2,6,681.52
86,2024-10-09,585,113,4,5,780.34
87,2026-04-07,515,136,4,3,818.72
88,2024-10-07,821,155,2,5,61.66
89,2025-11-23,493,96,1,9,852.65
90,2026-03-10,292,22,2,5,454.83
91,2026-03-06,526,38,4,2,946.95
92,2026-03-26,228,116,3,1,420.75
93,2026-04-03,406,129,3,4,392.3
94,2024-11-10,84,96,2,1,325.5
95,2025-02-06,102,183,3,3,146.22
96,2025-10-05,294,121,2,8,454.12
97,2025-09-13,6,21,1,5,223.5
98,2025-03-11,154,141,4,2,778.41
99,2026-02-07,244,78,1,1,246.06
100,2025-02-28,655,160,4,2,119.75
101,2024-10-11,927,128,1,9,579.3
102,2024-08-06,736,37,3,7,11.55
103,2024-05-03,362,62,4,3,667.73
104,2024-09-23,88,135,3,2,953.87
105,2025-09-23,558,130,1,7,874.6
106,2024-05-18,45,163,4,6,261.11
107,2025-11-06,17,92,1,6,248.71
108,2024-06-17,673,161,1,10,737.84
109,2024-07-24,341,35,1,6,550.55
110,2025-07-31,834,165,2,8,981.01
111,2026-03-13,491,162,2,3,72.47
112,2025-08-05,795,118,1,5,209.58
113,2025-10-15,811,52,1,6,934.04
114,2026-04-14,528,102,4,5,46.25
115,2025-06-10,663,49,3,6,863.52
116,2025-11-25,49,168,3,5,133.23
117,2024-09-26,377,112,4,8,895.69
118,2025-11-01,396,87,2,8,695.15
119,2025-07-05,377,133,3,2,729.81
120,2025-06-18,81,111,2,9,300.83
121,2026-04-16,106,21,3,5,313.43
122,2024-11-26,618,184,4,3,692.87
123,2024-09-20,360,115,1,6,618.7
124,2024-07-12,446,71,1,2,674.47
125,2024-06-04,416,94,2,1,151.35
126,2025-09-21,623,174,4,1,134.97
127,2025-01-10,242,200,3,6,389.03
128,2024-09-27,581,9,2,8,949.34
129,2025-04-27,381,114,1,10,146.32
130,2025-02-17,376,102,3,5,257.12
131,2024-09-16,117,7,2,8,522.57
132,2025-03-21,936,144,1,5,777.21
133,2026-02-03,721,115,2,10,292.72
134,2025-10-15,939,126,2,2,144.37
135,2025-02-22,76,116,2,8,997.29
136,2026-01-01,830,175,3,6,712.45
137,2026-02-19,564,139,3,5,852.85
138,2025-05-17,729,182,2,6,513.67
139,2024-06-14,125,52,2,4,792.47
140,2025-02-12,27,93,3,8,805.63
141,2025-09-29,565,34,1,2,316.2
142,2025-05-11,735,185,4,9,416.69
143,2024-07-08,420,148,1,3,972.66
144,2026-01-06,658,19,4,8,683.31
145,2024-11-27,353,33,2,3,438.29
146,2025-03-18,933,15,1,9,161.49
147,2024-08-09,169,42,3,4,352.56
148,2026-02-17,964,133,3,2,258.1
149,2024-11-05,651,142,3,3,628.77
150,2025-11-17,630,137,1,9,644.58
151,2025-01-17,607,149,2,3,662.15
152,2024-06-26,738,155,3,10,50.78
153,2024-09-02,885,8,1,1,949.06
154,2024-10-05,790,148,3,4,769.29
155,2025-05-16,427,159,1,8,890.11
156,2025-03-01,559,75,3,8,252.43
157,2025-03-03,827,176,4,5,459.01
158,2024-10-02,706,16,2,8,421.47
159,2026-01-08,476,53,3,10,152.23
160,2024-05-17,883,184,3,6,975.62
161,2025-07-26,134,195,3,9,566.03
162,2024-06-13,327,62,4,2,274.8
163,2024-06-30,254,37,1,1,297.31
164,2025-03-03,394,158,4,4,963.06
165,2025-11-26,924,41,3,10,723.92
166,2025-03-21,195,196,2,8,996.01
167,2025-03-16,479,128,3,8,32.94
168,2025-11-11,968,101,4,4,222.99
169,2024-10-20,362,13,1,5,499.95
170,2025-11-05,904,168,4,5,541.32
171,2025-07-06,868,28,4,3,883.63
172,2025-10-05,745,94,4,6,54.79
173,2024-10-04,53,146,2,6,557.69
174,2024-10-25,76,99,4,9,286.92
175,2025-10-19,639,175,1,3,975.33
176,2025-11-21,404,96,3,9,939.56
177,2025-01-16,774,37,2,10,514.03
178,2026-03-25,513,11,1,1,145.67
179,2025-05-30,342,122,4,3,610.2
180,2025-09-22,528,36,3,10,325.34
181,2024-08-10,403,158,3,10,343.01
182,2026-01-28,849,131,4,10,306.79
183,2026-01-15,836,5,3,6,677.07
184,2025-04-16,427,150,3,1,600.94
185,2026-01-14,272,168,2,1,587.69
186,2024-05-21,175,135,4,3,823.44
187,2026-02-07,249,9,1,4,28.75
188,2025-02-09,322,108,2,7,693.6
189,2025-12-30,421,129,4,1,708.72
190,2025-05-30,532,54,3,8,530.22
191,2026-04-23,322,45,4,9,348.9
192,2025-04-09,363,174,3,10,489.34
193,2026-03-24,981,64,3,9,305.51
194,2025-01-22,965,77,3,4,693.34
195,2025-03-06,501,82,4,6,564.88
196,2025-01-09,957,185,3,5,130.66
197,2024-10-29,693,140,4,7,820.19
198,2024-12-29,978,198,2,5,51.65
199,2025-02-06,979,183,1,6,924.77
200,2024-08-29,672,66,4,4,210.05
201,2025-04-18,552,70,3,3,118.13
202,2025-11-07,759,151,2,4,60.26
203,2024-06-14,927,136,2,4,61.97
204,2025-02-16,424,85,4,2,684.38
205,2024-05-09,141,2,2,7,656.36
206,2025-11-16,902,122,4,4,758.35
207,2025-11-14,295,83,3,1,908.86
208,2024-11-27,92,167,2,9,741.3
209,2024-09-17,871,10,2,7,883.42
210,2025-09-10,181,10,4,8,194.45
211,2025-06-12,767,75,1,1,305.41
212,2025-11-28,618,28,3,5,459.81
213,2026-01-31,657,140,4,3,852.55
214,2026-02-09,480,70,2,2,337.38
215,2026-02-16,749,118,3,3,23.94
216,2026-04-12,346,76,2,3,614.84
217,2025-11-21,655,104,4,9,334.65
218,2025-07-28,411,172,1,3,981.87
219,2025-07-21,489,83,2,1,268.18
220,2025-02-27,242,115,3,6,308.93
221,2024-05-01,741,147,1,5,657.15
222,2024-07-30,710,61,1,2,470.74
223,2024-06-15,164,104,3,2,642.32
224,2024-07-28,964,76,3,10,228.64
225,2025-01-11,981,35,4,3,460.43
226,2024-10-07,621,96,4,9,913.67
227,2024-07-20,776,138,2,4,683.54
228,2024-05-12,611,21,4,9,706.73
229,2024-09-15,80,145,1,1,830.49
230,2024-12-11,925,130,2,10,541.29
231,2025-12-04,169,84,4,2,683.49
232,2024-12-01,735,150,4,2,899.9
233,2025-01-01,457,15,4,3,518.12
234,2024-10-29,468,145,1,9,467.75
235,2025-01-24,827,79,1,7,261.91
236,2025-02-20,4,191,2,10,82.3
237,2025-08-02,434,89,1,9,994.18
238,2024-09-07,958,18,4,1,294.22
239,2024-11-29,185,197,2,7,380.72
240,2025-11-26,913,98,4,7,381.89
241,2025-12-13,700,170,2,6,127.45
242,2026-01-03,551,101,2,4,836.47
243,2026-04-02,775,6,3,8,676.76
244,2025-09-10,558,109,4,4,255.04
245,2024-07-11,355,40,3,4,938.04
246,2024-12-22,743,196,1,1,811.38
247,2024-05-30,430,158,1,4,214.02
248,2024-08-06,104,153,1,8,601.81
249,2024-10-13,721,13,2,1,408.24
250,2026-02-05,240,139,2,1,148.73
251,2025-11-04,297,60,3,10,601.94
252,2025-11-24,689,83,2,5,877.5
253,2026-02-26,677,134,2,7,307.5
254,2025-06-03,63,143,2,7,560.29
255,2026-02-06,49,89,4,9,325.55
256,2025-01-01,427,105,2,5,382.7
257,2025-07-25,773,138,4,4,850.85
258,2025-08-05,308,182,2,8,915.59
259,2025-05-24,576,106,4,9,534.69
260,2024-10-12,398,63,3,4,336.96
261,2025-07-15,81,116,3,2,540.28
262,2024-11-20,850,49,1,5,383.4
263,2024-08-21,620,155,1,2,196.28
264,2025-02-17,780,151,2,8,216.8
265,2024-07-15,929,86,3,1,219.69
266,2025-04-24,195,190,1,8,915.3
267,2024-10-31,713,155,2,7,915.98
268,2026-01-18,566,83,3,7,471.59
269,2026-04-02,665,92,3,5,366.05
270,2025-02-17,904,128,4,2,804.79
271,2025-05-27,740,121,3,4,377.0
272,2024-05-21,424,12,2,3,26.06
273,2024-11-21,567,150,4,5,160.89
274,2025-12-26,338,59,4,10,835.03
275,2024-06-20,512,141,3,5,765.73
276,2024-10-10,501,186,4,8,176.55
277,2025-06-09,815,91,2,3,723.11
278,2024-06-27,501,48,1,9,43.49
279,2025-11-03,868,20,1,1,418.27
280,2024-05-29,863,162,2,2,710.1
281,2026-02-04,10,56,4,6,69.85
282,2025-05-11,654,171,4,8,25.57
283,2025-12-15,545,142,4,1,26.56
284,2024-08-05,740,71,3,1,507.19
285,2025-01-07,715,173,4,3,115.95
286,2026-04-24,99,135,2,4,200.01
287,2025-02-02,540,65,3,5,796.99
288,2025-09-07,81,96,4,8,569.35
289,2024-11-08,714,58,3,2,657.2
290,2025-02-13,879,167,1,2,411.23
291,2024-09-01,387,142,4,1,640.38
292,2024-08-19,720,44,1,8,846.88
293,2025-12-30,661,85,1,9,919.96
294,2025-02-19,236,55,4,5,56.1
295,2025-10-22,77,176,3,9,567.87
296,2026-02-02,34,46,3,1,961.85
297,2024-12-28,602,37,4,2,306.28
298,2024-11-27,578,62,4,9,338.41
299,2025-03-31,774,190,2,2,505.78
300,2025-07-15,998,89,1,2,442.72
301,2026-01-19,859,20,3,10,771.32
302,2024-07-15,978,153,4,6,39.33
303,2025-02-03,280,116,4,4,362.25
304,2025-05-13,964,97,4,3,682.9
305,2024-08-07,677,98,1,10,302.43
306,2024-11-04,253,183,1,2,275.29
307,2026-01-28,390,183,2,7,323.51
308,2025-08-09,110,24,1,5,450.29
309,2024-11-28,780,70,1,3,96.42
310,2025-06-19,442,115,4,2,36.0
311,2025-12-18,363,142,1,10,602.06
312,2024-12-03,333,99,1,5,419.67
313,2026-03-05,798,22,2,10,525.89
314,2025-04-17,702,98,2,3,276.23
315,2026-03-09,275,127,2,2,175.54
316,2025-07-05,283,108,3,8,784.84
317,2025-02-11,370,65,2,8,597.87
318,2025-06-01,201,118,1,3,311.61
319,2025-03-14,972,102,3,10,386.09
320,2024-08-20,883,85,4,6,436.31
321,2026-04-10,844,167,2,5,327.46
322,2025-07-22,971,178,2,8,321.04
323,2026-03-23,988,102,3,5,737.53
324,2025-01-21,649,126,2,6,382.29
325,2025-10-06,837,101,3,2,932.75
326,2024-10-28,205,152,2,9,36.65
327,2026-02-19,745,119,2,8,799.71
328,2025-10-15,852,178,1,7,676.25
329,2026-04-09,143,163,3,4,260.15
330,2024-10-30,158,184,4,7,83.23
331,2025-12-06,613,123,4,9,511.55
332,2026-04-19,943,178,4,9,46.4
333,2025-09-02,992,93,1,2,771.26
334,2024-11-12,674,171,3,3,650.53
335,2025-07-05,46,145,4,6,966.06
336,2024-09-30,441,28,1,2,266.15
337,2024-12-21,523,192,2,8,380.38
338,2026-03-07,475,198,2,6,997.73
339,2024-08-21,495,27,3,7,921.34
340,2025-08-30,88,30,2,6,318.77
341,2025-12-04,467,53,4,6,481.4
342,2024-08-31,449,185,4,6,76.5
343,2025-11-07,46,182,1,1,850.69
344,2024-05-14,664,28,2,4,520.83
345,2025-01-31,566,41,3,9,432.11
346,2026-03-17,474,60,4,3,194.52
347,2024-12-14,674,111,4,1,740.01
348,2026-03-15,905,51,4,10,435.26
349,2025-10-30,5,181,2,4,285.56
350,2024-08-09,721,17,1,9,195.09
351,2026-03-18,334,51,4,2,269.73
352,2024-12-25,884,126,3,10,394.75
353,2024-12-24,402,151,1,6,358.47
354,2026-04-12,469,159,2,5,919.5
355,2025-10-07,605,22,2,6,126.68
356,2026-03-25,313,30,2,6,696.5
357,2025-12-15,524,100,4,10,146.49
358,2025-02-22,393,109,2,8,639.15
359,2025-06-16,711,166,2,9,175.2
360,2025-01-09,296,36,2,6,843.57
361,2025-10-25,635,14,3,1,489.76
362,2025-09-02,200,99,4,7,687.85
363,2025-03-06,426,182,4,8,175.58
364,2025-09-17,579,8,2,5,42.37
365,2024-09-03,231,138,3,3,782.93
366,2024-12-14,580,191,4,9,515.7
367,2025-05-01,587,30,3,9,825.05
368,2025-02-22,376,139,1,8,550.89
369,2025-07-04,436,27,2,5,876.06
370,2025-12-29,34,116,3,6,863.58
371,2025-06-04,90,113,1,4,217.78
372,2025-02-24,756,151,3,10,636.44
373,2024-07-11,170,158,2,4,815.39
374,2024-07-14,825,16,3,9,288.27
375,2026-03-19,552,44,3,5,296.44
376,2025-10-04,274,132,1,3,963.14
377,2024-11-14,805,106,1,5,868.38
378,2025-04-16,130,180,2,4,154.78
379,2025-08-15,330,64,4,8,150.75
380,2025-01-26,648,69,4,7,457.47
381,2025-09-28,649,197,1,7,520.46
382,2025-12-17,285,178,3,8,950.75
383,2024-10-30,336,149,1,2,733.62
384,2024-10-20,470,163,3,2,797.72
385,2024-07-23,408,56,4,4,499.77
386,2026-02-03,331,73,3,9,582.15
387,2024-05-18,580,125,3,1,55.48
388,2024-05-05,642,118,1,2,930.14
389,2024-10-19,162,113,4,1,991.92
390,2025-03-11,439,52,2,5,167.39
391,2024-12-14,956,71,1,6,257.89
392,2025-05-21,381,171,2,1,402.38
393,2024-11-07,313,186,2,7,658.93
394,2025-12-16,721,25,1,4,482.04
395,2025-04-07,136,152,2,9,683.18
396,2025-05-10,10,3,3,2,988.27
397,2024-12-19,433,178,2,8,80.12
398,2024-06-05,393,23,1,2,320.22
399,2026-01-06,903,77,2,7,775.73
400,2025-07-14,772,35,2,2,535.2
401,2025-03-25,9,157,2,8,357.68
402,2025-12-03,219,161,2,7,619.92
403,2025-10-28,454,56,1,2,148.61
404,2024-09-25,127,151,4,6,963.62
405,2024-05-10,323,36,2,5,648.17
406,2024-08-19,255,142,3,1,849.41
407,2024-11-29,675,78,2,9,610.86
408,2024-05-24,194,192,4,5,649.71
409,2026-01-23,803,62,4,7,121.62
410,2025-07-11,512,164,1,9,889.84
411,2025-05-15,13,93,3,3,392.97
412,2024-11-20,860,146,4,6,550.89
413,2025-09-22,177,196,4,2,26.52
414,2024-08-12,70,4,3,4,49.43
415,2025-09-25,62,102,3,9,769.44
416,2025-07-26,434,180,4,2,644.13
417,2025-01-17,551,158,2,5,92.76
418,2024-12-15,81,131,2,3,541.03
419,2025-01-22,401,151,1,5,701.69
420,2025-04-19,748,62,1,4,95.35
421,2024-09-19,445,30,4,10,612.74
422,2026-03-16,317,171,2,2,22.54
423,2025-07-22,141,180,1,3,501.45
424,2024-10-24,356,134,3,3,378.15
425,2025-04-02,768,200,3,2,773.72
426,2025-07-17,31,86,4,5,528.62
427,2024-12-14,270,183,1,8,460.65
428,2024-05-29,369,15,4,10,175.21
429,2025-10-18,162,66,1,10,677.38
430,2026-04-08,119,59,1,1,860.1
431,2026-02-15,13,63,1,8,370.34
432,2024-10-20,943,39,2,1,557.34
433,2026-03-14,936,183,4,4,328.58
434,2024-07-29,427,185,3,5,827.74
435,2026-02-20,586,96,1,9,676.59
436,2026-04-20,54,46,2,9,981.6
437,2025-09-16,977,103,1,8,867.37
438,2025-02-06,793,80,3,2,557.56
439,2024-05-03,9,95,2,5,568.17
440,2025-07-04,312,190,2,8,374.59
441,2025-10-06,996,127,2,9,762.88
442,2025-03-14,252,39,1,7,33.67
443,2026-02-03,555,89,1,6,11.45
444,2024-08-08,674,97,3,2,213.14
445,2024-07-06,244,108,4,1,972.83
446,2025-07-11,146,183,3,2,53.46
447,2026-02-20,238,134,4,6,463.87
448,2024-12-18,766,22,1,9,142.18
449,2024-08-07,840,101,1,10,572.14
450,2025-10-18,446,170,2,4,298.76
451,2025-09-14,872,81,4,6,324.88
452,2025-11-02,279,60,1,4,144.75
453,2025-06-11,789,150,1,3,114.6
454,2026-03-07,461,120,3,7,129.53
455,2025-08-13,367,198,2,8,315.22
456,2024-05-09,272,31,1,3,809.52
457,2026-03-07,312,181,1,4,837.57
458,2025-07-04,336,38,1,4,968.72
459,2024-12-23,406,132,1,5,267.57
460,2025-09-01,179,8,4,8,560.39
461,2024-11-30,564,64,1,8,110.89
462,2025-02-03,813,36,1,1,71.05
463,2024-12-24,800,57,2,4,825.44
464,2026-03-23,382,176,1,10,590.26
465,2025-11-20,940,20,1,2,205.77
466,2025-05-09,662,114,2,2,906.03
467,2025-10-25,850,85,1,1,942.86
468,2025-04-28,52,44,4,7,501.17
469,2026-02-11,392,175,4,3,360.4
470,2024-12-09,931,48,3,5,451.55
471,2025-11-12,153,9,2,5,503.9
472,2024-06-14,904,141,4,1,96.84
473,2025-09-09,393,36,4,4,646.23
474,2024-05-31,817,135,2,9,796.9
475,2024-12-11,392,183,3,8,549.07
476,2025-03-22,497,89,3,7,277.73
477,2025-08-01,27,82,2,1,896.81
478,2025-08-25,798,72,1,8,534.14
479,2025-02-28,786,150,2,3,109.13
480,2024-12-18,673,62,3,9,818.12
481,2024-12-30,940,189,1,4,579.94
482,2024-12-03,817,100,3,3,184.34
483,2025-02-12,607,82,3,10,37.92
484,2025-03-13,718,91,2,10,948.88
485,2024-06-25,857,127,3,3,495.53
486,2025-05-27,93,15,2,10,226.62
487,2025-07-01,540,123,1,6,918.72
488,2025-02-06,207,34,3,3,919.59
489,2025-03-17,865,83,1,1,156.23
490,2024-12-18,722,37,1,9,862.06
491,2025-10-26,984,19,3,7,590.16
492,2024-05-09,345,78,3,3,976.1
493,2025-02-14,750,112,4,6,182.46
494,2024-12-03,992,144,3,4,668.88
495,2024-06-28,835,45,4,5,736.66
496,2025-03-24,302,33,2,1,949.3
497,2025-06-18,972,147,4,10,42.06
498,2025-02-09,617,82,2,10,113.07
499,2026-03-31,509,37,3,2,245.62
500,2024-06-08,328,43,1,6,452.16
501,2025-04-10,272,54,2,2,356.98
502,2024-07-27,806,28,1,1,392.08
503,2026-02-11,751,108,2,7,498.15
504,2024-11-07,388,90,4,2,830.52
505,2025-07-20,808,148,2,3,456.77
506,2025-03-11,819,9,3,1,325.53
507,2025-03-09,975,27,1,6,178.4
508,2025-05-14,385,42,1,9,942.42
509,2025-03-15,96,87,4,1,437.01
510,2024-12-03,670,43,4,3,63.02
511,2025-06-21,340,53,2,7,700.22
512,2025-05-25,740,187,3,5,304.43
513,2026-01-05,99,13,4,10,554.17
514,2024-12-15,503,40,1,6,13.78
515,2024-08-01,90,76,4,4,106.02
516,2024-09-28,212,44,3,2,478.83
517,2025-01-10,119,79,4,8,494.21
518,2024-11-15,677,68,1,9,393.65
519,2026-02-17,380,98,3,3,451.32
520,2025-02-26,270,113,4,5,233.98
521,2026-03-22,276,145,1,3,754.71
522,2026-03-13,684,25,1,6,810.1
523,2025-06-29,424,194,2,9,70.37
524,2024-11-11,397,134,4,9,690.2
525,2024-11-05,959,122,2,8,305.86
526,2026-03-02,405,183,1,9,575.51
527,2025-09-17,530,147,2,2,949.76
528,2025-10-04,460,45,2,4,810.38
529,2024-12-21,130,11,4,2,988.4
530,2024-12-18,446,52,2,10,265.31
531,2025-01-12,933,187,1,2,394.22
532,2024-10-09,407,142,3,5,524.49
533,2024-06-01,940,4,4,2,420.3
534,2025-10-24,152,146,1,2,567.06
535,2025-12-01,104,74,3,7,271.5
536,2025-05-10,671,125,4,1,180.48
537,2026-03-01,413,37,4,1,401.83
538,2025-01-29,901,85,2,1,748.29
539,2024-06-16,943,69,3,1,344.49
540,2025-09-09,813,78,3,5,844.42
541,2025-07-19,879,179,1,4,143.04
542,2026-02-07,998,191,4,6,276.73
543,2024-05-25,427,155,1,4,447.3
544,2024-11-19,936,105,4,9,868.52
545,2024-05-25,841,15,2,2,318.01
546,2024-06-28,519,104,2,9,880.54
547,2024-11-22,30,45,2,4,838.61
548,2025-11-20,256,9,4,1,918.85
549,2025-04-01,722,51,3,6,825.27
550,2026-03-17,518,102,1,1,249.52
551,2024-05-27,501,153,4,3,960.92
552,2024-08-05,486,151,3,6,171.88
553,2025-11-17,916,67,1,5,37.18
554,2026-04-17,51,42,2,4,650.91
555,2024-10-06,694,53,3,7,518.15
556,2026-02-08,886,200,1,8,912.4
557,2024-12-05,663,45,1,4,259.87
558,2026-02-28,825,79,3,7,896.53
559,2025-04-08,873,90,4,5,226.03
560,2024-05-11,310,174,4,10,111.29
561,2025-04-08,524,170,3,9,650.87
562,2025-01-10,624,73,3,2,486.92
563,2025-05-13,345,71,3,5,268.54
564,2025-12-28,729,167,3,4,158.43
565,2025-05-17,784,62,1,10,410.06
566,2024-09-15,328,175,2,1,658.85
567,2024-09-05,303,67,4,7,394.39
568,2024-11-28,37,150,2,6,729.28
569,2026-01-10,228,176,4,6,512.24
570,2025-10-20,866,44,2,5,106.63
571,2024-07-21,132,190,3,9,765.29
572,2024-09-01,188,175,3,2,230.03
573,2025-11-23,229,191,3,7,790.21
574,2026-03-02,340,96,3,10,301.11
575,2024-12-11,872,31,4,1,867.73
576,2025-03-10,598,149,1,8,890.53
577,2025-03-21,513,31,4,9,305.37
578,2024-11-30,56,39,2,4,349.24
579,2025-04-01,584,118,2,6,863.77
580,2025-11-16,185,200,1,8,339.3
581,2025-03-11,182,81,1,1,457.53
582,2025-12-30,215,195,2,10,766.84
583,2025-11-26,502,196,1,3,618.33
584,2025-01-23,649,110,4,7,965.67
585,2025-09-04,393,2,1,9,207.42
586,2026-02-25,383,4,3,9,198.67
587,2024-12-04,693,2,2,4,696.59
588,2025-05-24,353,80,2,2,389.71
589,2026-02-09,603,79,2,2,825.61
590,2024-10-22,306,75,4,9,600.41
591,2025-03-02,346,112,2,6,996.18
592,2024-06-22,502,92,2,3,948.6
593,2025-08-30,941,104,1,4,232.08
594,2025-04-07,135,55,1,10,509.59
595,2025-01-02,127,94,1,7,877.78
596,2024-04-30,262,198,1,10,994.73
597,2025-03-04,678,28,1,1,692.85
598,2024-08-29,427,114,4,2,551.81
599,2025-07-17,486,180,2,4,698.24
600,2025-09-27,646,3,3,7,665.05
601,2025-02-20,679,134,3,10,609.58
602,2025-02-16,141,108,1,9,721.58
603,2025-12-27,121,73,1,2,502.76
604,2025-04-21,624,52,3,9,973.39
605,2025-03-29,367,181,4,5,168.77
606,2024-07-12,562,128,2,8,337.3
607,2026-03-16,3,4,1,2,836.88
608,2025-11-14,686,127,2,2,781.73
609,2024-11-23,77,186,1,5,647.89
610,2025-03-20,468,76,3,8,59.58
611,2024-05-30,833,45,1,5,366.61
612,2025-05-20,694,81,4,2,104.05
613,2024-12-13,777,12,1,3,666.72
614,2025-07-09,175,85,3,8,955.54
615,2025-10-10,275,188,1,6,816.81
616,2025-10-02,188,30,4,7,962.69
617,2024-09-13,279,99,4,7,652.36
618,2026-03-05,817,43,1,3,699.21
619,2024-12-16,61,41,1,7,912.11
620,2024-09-17,495,146,4,3,615.21
621,2024-10-20,798,92,1,3,488.25
622,2024-06-13,500,29,4,8,55.51
623,2025-10-26,268,168,3,1,707.52
624,2025-03-27,695,135,2,6,523.91
625,2024-10-12,705,180,1,7,665.1
626,2025-08-20,255,124,3,7,157.17
627,2024-07-26,847,143,1,1,646.96
628,2024-08-05,161,130,4,8,870.72
629,2025-08-17,77,193,4,6,248.48
630,2025-10-07,994,72,1,9,230.48
631,2024-06-11,659,97,4,4,88.04
632,2026-02-11,455,147,4,2,858.02
633,2024-11-28,458,81,1,8,747.79
634,2024-10-30,19,27,4,7,45.47
635,2024-10-14,563,1,1,10,963.54
636,2026-02-20,653,78,2,8,950.85
637,2025-12-10,373,14,2,8,338.65
638,2025-12-24,786,159,4,6,718.75
639,2024-09-10,117,25,2,1,347.94
640,2024-11-12,850,163,3,9,526.77
641,2025-01-28,719,28,1,3,497.5
642,2026-01-05,842,184,4,2,261.75
643,2024-06-25,201,49,1,7,223.43
644,2025-03-05,845,49,3,2,759.58
645,2024-11-27,48,163,1,8,462.81
646,2025-03-09,604,130,2,8,14.29
647,2026-01-15,754,13,4,10,488.1
648,2025-07-17,521,200,2,10,181.91
649,2025-08-04,835,33,1,7,660.95
650,2026-03-28,621,83,4,7,979.71
651,2025-06-14,938,178,2,5,403.89
652,2024-09-06,352,76,4,3,146.8
653,2025-05-23,617,180,3,9,862.1
654,2024-11-09,729,189,2,4,217.62
655,2025-01-24,732,75,3,3,981.52
656,2025-11-04,666,46,3,2,763.17
657,2025-12-18,576,123,4,9,293.07
658,2026-03-28,868,109,1,9,115.41
659,2025-01-04,391,38,1,1,207.9
660,2024-10-07,769,42,3,5,154.96
661,2026-04-13,64,177,3,4,756.06
662,2024-05-22,34,92,4,2,619.95
663,2024-05-07,692,190,2,9,395.0
